ligand,receptor,secreted
PDGFD,ROS1,TRUE
FGF6,ROS1,TRUE
FGF17,ROS1,TRUE
FGF18,ROS1,TRUE
FGF22,ROS1,TRUE
BDNF,ROS1,TRUE
NTF3,ROS1,TRUE
UCN3,ROS1,TRUE
EREG,ROS1,TRUE
VEGFA,ROS1,FALSE
VEGFC,ROS1,TRUE
VEGFD,ROS1,TRUE
NTF4,ROS1,TRUE
FGF5,ROS1,TRUE
FGF19,ROS1,TRUE
FGF16,ROS1,TRUE
FGF21,ROS1,TRUE
FGF20,ROS1,TRUE
FGF23,ROS1,TRUE
PGF,ROS1,FALSE
FGF3,PTK7,TRUE
IGF1,PTK7,TRUE
WNT5A,PTK7,FALSE
IGF2,PTK7,TRUE
FLT3LG,PTK7,FALSE
KITLG,PTK7,TRUE
EGF,PTK7,TRUE
NGF,PTK7,TRUE
TGFA,PTK7,FALSE
CSF1,PTK7,FALSE
HGF,PTK7,TRUE
INS,PTK7,TRUE
AREG,PTK7,TRUE
PDGFC,PTK7,FALSE
PDGFA,PTK7,TRUE
PDGFB,PTK7,FALSE
FGF1,PTK7,TRUE
FGF2,PTK7,TRUE
FGF4,PTK7,TRUE
FGF7,PTK7,TRUE
FGF8,PTK7,TRUE
FGF9,PTK7,FALSE
FGF10,PTK7,FALSE
VEGFB,PTK7,TRUE
EFNA1,PTK7,FALSE
EFNA2,PTK7,FALSE
EFNA5,PTK7,FALSE
EFNA3,PTK7,FALSE
EFNA4,PTK7,FALSE
ANGPT2,PTK7,TRUE
ANGPT1,PTK7,TRUE
ANGPT4,PTK7,TRUE
PDGFD,PTK7,TRUE
FGF6,PTK7,TRUE
FGF17,PTK7,TRUE
FGF18,PTK7,TRUE
FGF22,PTK7,TRUE
BDNF,PTK7,TRUE
NTF3,PTK7,TRUE
EREG,PTK7,TRUE
VEGFA,PTK7,FALSE
VEGFC,PTK7,TRUE
VEGFD,PTK7,TRUE
NTF4,PTK7,TRUE
FGF5,PTK7,TRUE
FGF19,PTK7,TRUE
FGF16,PTK7,TRUE
FGF21,PTK7,TRUE
FGF20,PTK7,TRUE
FGF23,PTK7,TRUE
PGF,PTK7,FALSE
POSTN,PTK7,FALSE
FGF3,NTRK1,TRUE
IGF1,NTRK1,TRUE
IGF2,NTRK1,TRUE
FLT3LG,NTRK1,FALSE
KITLG,NTRK1,TRUE
EGF,NTRK1,TRUE
NGF,NTRK1,TRUE
TGFA,NTRK1,FALSE
PTPN6,NTRK1,TRUE
CSF1,NTRK1,FALSE
HGF,NTRK1,TRUE
INS,NTRK1,TRUE
AREG,NTRK1,TRUE
PDGFC,NTRK1,FALSE
PDGFA,NTRK1,TRUE
PDGFB,NTRK1,FALSE
FGF1,NTRK1,TRUE
FGF2,NTRK1,TRUE
FGF4,NTRK1,TRUE
FGF7,NTRK1,TRUE
FGF8,NTRK1,TRUE
FGF9,NTRK1,FALSE
FGF10,NTRK1,FALSE
VEGFB,NTRK1,TRUE
EFNA1,NTRK1,FALSE
EFNA2,NTRK1,FALSE
EFNA5,NTRK1,FALSE
EFNA3,NTRK1,FALSE
EFNA4,NTRK1,FALSE
ANGPT2,NTRK1,TRUE
ANGPT1,NTRK1,TRUE
ANGPT4,NTRK1,TRUE
PDGFD,NTRK1,TRUE
FGF6,NTRK1,TRUE
FGF17,NTRK1,TRUE
FGF18,NTRK1,TRUE
FGF22,NTRK1,TRUE
BDNF,NTRK1,TRUE
NTF3,NTRK1,TRUE
EREG,NTRK1,TRUE
VEGFA,NTRK1,FALSE
VEGFC,NTRK1,TRUE
VEGFD,NTRK1,TRUE
NTF4,NTRK1,TRUE
GPI,NTRK1,FALSE
CTGF,NTRK1,FALSE
GRN,NTRK1,TRUE
AIMP1,NTRK1,FALSE
FGF5,NTRK1,TRUE
FGF19,NTRK1,TRUE
FGF16,NTRK1,TRUE
FGF21,NTRK1,TRUE
FGF20,NTRK1,TRUE
FGF23,NTRK1,TRUE
PGF,NTRK1,FALSE
LPA,NTRK1,TRUE
COPA,NTRK1,TRUE
VGF,NTRK1,TRUE
FGF3,RYK,TRUE
IGF1,RYK,TRUE
WNT1,RYK,FALSE
WNT5A,RYK,FALSE
IGF2,RYK,TRUE
FLT3LG,RYK,FALSE
KITLG,RYK,TRUE
EGF,RYK,TRUE
NGF,RYK,TRUE
TGFA,RYK,FALSE
CSF1,RYK,FALSE
HGF,RYK,TRUE
INS,RYK,TRUE
AREG,RYK,TRUE
PDGFC,RYK,FALSE
PDGFA,RYK,TRUE
PDGFB,RYK,FALSE
FGF1,RYK,TRUE
FGF2,RYK,TRUE
FGF4,RYK,TRUE
FGF7,RYK,TRUE
FGF8,RYK,TRUE
FGF9,RYK,FALSE
FGF10,RYK,FALSE
VEGFB,RYK,TRUE
EFNA1,RYK,FALSE
EFNA2,RYK,FALSE
EFNA5,RYK,FALSE
EFNA3,RYK,FALSE
EFNA4,RYK,FALSE
ANGPT2,RYK,TRUE
ANGPT1,RYK,TRUE
ANGPT4,RYK,TRUE
WNT3A,RYK,FALSE
WIF1,RYK,FALSE
PDGFD,RYK,TRUE
FGF6,RYK,TRUE
FGF17,RYK,TRUE
FGF18,RYK,TRUE
FGF22,RYK,TRUE
BDNF,RYK,TRUE
NTF3,RYK,TRUE
EREG,RYK,TRUE
VEGFA,RYK,FALSE
VEGFC,RYK,TRUE
VEGFD,RYK,TRUE
NTF4,RYK,TRUE
WNT3,RYK,TRUE
FGF5,RYK,TRUE
FGF19,RYK,TRUE
FGF16,RYK,TRUE
FGF21,RYK,TRUE
FGF20,RYK,TRUE
FGF23,RYK,TRUE
PGF,RYK,FALSE
FGF3,FGFRL1,TRUE
FGF1,FGFRL1,TRUE
FGF2,FGFRL1,TRUE
FGF4,FGFRL1,TRUE
FGF8,FGFRL1,TRUE
FGF10,FGFRL1,FALSE
FGF22,FGFRL1,TRUE
TP53,ADGRB1,FALSE
TP53,BDKRB2,FALSE
KNG1,BDKRB2,TRUE
CALR,BDKRB2,FALSE
TP53,CX3CL1,FALSE
IFNG,CX3CL1,TRUE
CCL5,CX3CL1,TRUE
TNF,CX3CL1,FALSE
RETN,CX3CL1,TRUE
TP53,TRPM2,FALSE
TNF,TRPM2,FALSE
TP53,P2RX6,FALSE
TP53,TNFRSF10C,FALSE
TNFSF10,TNFRSF10C,TRUE
TP53,TNFRSF10A,FALSE
TNFSF10,TNFRSF10A,TRUE
FGFR4,TNFRSF10A,FALSE
TP53,HSP90AB1,FALSE
EGF,HSP90AB1,TRUE
TP53,LGALS3,FALSE
IL4,LGALS3,TRUE
MUC1,LGALS3,FALSE
CSF2,LGALS3,TRUE
TP53,TNFRSF10D,FALSE
TNFSF10,TNFRSF10D,TRUE
MIF,TNFRSF10D,FALSE
TP53,HMGB1,FALSE
TNF,HMGB1,FALSE
ADCYAP1,HMGB1,TRUE
TP53,NR3C1,FALSE
TNF,NR3C1,FALSE
RLN1,NR3C1,TRUE
GC,NR3C1,TRUE
TP53,HMMR,FALSE
TP53,UNC5D,FALSE
NTN1,UNC5D,TRUE
TP53,THBS1,FALSE
HGF,THBS1,TRUE
TGFB1,THBS1,FALSE
FGF2,THBS1,TRUE
FGF8,THBS1,TRUE
IL18,THBS1,TRUE
VWF,THBS1,TRUE
IGF1,IGF2R,TRUE
IGF2,IGF2R,TRUE
EGF,IGF2R,TRUE
CTGF,IGF2R,FALSE
PLG,IGF2R,TRUE
IGF1,PLXNA3,TRUE
SEMA3A,PLXNA3,TRUE
SEMA3F,PLXNA3,TRUE
SEMA5A,PLXNA3,FALSE
SEMA5B,PLXNA3,FALSE
IGF1,VEGFA,TRUE
CCL2,VEGFA,TRUE
RAC1,VEGFA,FALSE
EPO,VEGFA,FALSE
IL10,VEGFA,TRUE
IL6,VEGFA,TRUE
CD40LG,VEGFA,FALSE
PTPN6,VEGFA,TRUE
CSF1,VEGFA,FALSE
HGF,VEGFA,TRUE
TGFB1,VEGFA,FALSE
IL1B,VEGFA,TRUE
IL13,VEGFA,TRUE
BMP4,VEGFA,TRUE
PDGFA,VEGFA,TRUE
FGF7,VEGFA,TRUE
MDK,VEGFA,TRUE
KDR,VEGFA,FALSE
VIP,VEGFA,TRUE
VTN,VEGFA,TRUE
FGF13,VEGFA,TRUE
PGF,VEGFA,FALSE
DCN,VEGFA,FALSE
PTPN11,SIRPA,FALSE
PTPN6,SIRPA,TRUE
CSF1,SIRPA,FALSE
VEGFA,SIRPA,FALSE
CGA,SIRPA,TRUE
CGB3,SIRPA,FALSE
VWF,SIRPA,TRUE
SFTPD,SIRPA,FALSE
IFNG,ANXA2,TRUE
INS,ANXA2,TRUE
ADM,PTH1R,TRUE
ADM2,PTH1R,TRUE
CALCA,PTH1R,TRUE
CALCB,PTH1R,TRUE
IAPP,PTH1R,TRUE
CRH,PTH1R,TRUE
POMC,PTH1R,TRUE
CGA,PTH1R,TRUE
FSHB,PTH1R,TRUE
GHRH,PTH1R,TRUE
GIP,PTH1R,TRUE
GCG,PTH1R,TRUE
LHB,PTH1R,TRUE
NPS,PTH1R,TRUE
AVP,PTH1R,TRUE
ADCYAP1,PTH1R,TRUE
VIP,PTH1R,TRUE
PTHLH,PTH1R,TRUE
PTH2,PTH1R,TRUE
RLN2,PTH1R,TRUE
RLN3,PTH1R,FALSE
INSL3,PTH1R,TRUE
SCT,PTH1R,TRUE
TSHB,PTH1R,TRUE
PTH,PTH1R,TRUE
WNT5A,ADRB2,FALSE
EGF,ADRB2,TRUE
IL1B,ADRB2,TRUE
VEGFB,ADRB2,TRUE
ACTR2,ADRB2,FALSE
ADM,ADRB2,TRUE
ADM2,ADRB2,TRUE
CALCA,ADRB2,TRUE
CALCB,ADRB2,TRUE
IAPP,ADRB2,TRUE
CRH,ADRB2,TRUE
POMC,ADRB2,TRUE
CGA,ADRB2,TRUE
FSHB,ADRB2,TRUE
GHRH,ADRB2,TRUE
GIP,ADRB2,TRUE
GCG,ADRB2,TRUE
LHB,ADRB2,TRUE
NPS,ADRB2,TRUE
AVP,ADRB2,TRUE
ADCYAP1,ADRB2,TRUE
VIP,ADRB2,TRUE
PTHLH,ADRB2,TRUE
PTH2,ADRB2,TRUE
RLN2,ADRB2,TRUE
RLN3,ADRB2,FALSE
INSL3,ADRB2,TRUE
SCT,ADRB2,TRUE
TSHB,ADRB2,TRUE
PTH,ADRB2,TRUE
APOB,ADRB2,TRUE
ARPC5,ADRB2,FALSE
TF,ADRB2,FALSE
HSPA8,ADRB2,FALSE
DBH,ADRB2,FALSE
ALCAM,CD6,FALSE
PTPN11,GHR,FALSE
PTPN6,GHR,TRUE
GH1,GHR,TRUE
GH2,GHR,TRUE
CSH1,GHR,TRUE
CSHL1,GHR,TRUE
TFF2,GHR,TRUE
TFF1,GHR,TRUE
TFF3,GHR,TRUE
IL1A,PLAU,FALSE
CSF2,PLAU,TRUE
HGF,PLAU,TRUE
TGFB1,PLAU,FALSE
TNF,PLAU,FALSE
LIF,PLAU,TRUE
IL3,PLAU,TRUE
FGF2,PLAU,TRUE
FGF7,PLAU,TRUE
FGFR3,PLAU,FALSE
BDNF,PLAU,TRUE
AVP,PLAU,TRUE
VTN,PLAU,TRUE
FGFR4,PLAU,FALSE
FGF13,PLAU,TRUE
PLAUR,PLAU,FALSE
PLG,PLAU,TRUE
SPP1,PLAU,TRUE
CCL2,CCR2,TRUE
CCL3L3,CCR2,TRUE
CXCL9,CCR2,FALSE
CCL5,CCR2,TRUE
CCL8,CCR2,TRUE
CCL4,CCR2,TRUE
CD40LG,CCR2,FALSE
CXCL10,CCR2,FALSE
CXCL11,CCR2,TRUE
CXCL12,CCR2,FALSE
CCL19,CCR2,TRUE
CCL21,CCR2,TRUE
CCL25,CCR2,TRUE
CCL13,CCR2,TRUE
CCL14,CCR2,TRUE
CCL15,CCR2,TRUE
CCL23,CCR2,TRUE
CCL3,CCR2,TRUE
CCL7,CCR2,TRUE
CCL27,CCR2,TRUE
CCL28,CCR2,TRUE
CCL16,CCR2,TRUE
CCL11,CCR2,TRUE
CCL24,CCR2,TRUE
CCL26,CCR2,TRUE
CCL17,CCR2,TRUE
CCL22,CCR2,TRUE
CCL20,CCR2,TRUE
CCL1,CCR2,TRUE
CXCL1,CCR2,TRUE
CXCL6,CCR2,TRUE
CXCL8,CCR2,TRUE
CXCL2,CCR2,TRUE
CXCL3,CCR2,TRUE
CXCL5,CCR2,TRUE
PPBP,CCR2,TRUE
CXCL13,CCR2,TRUE
CX3CL1,CCR2,FALSE
XCL1,CCR2,TRUE
XCL2,CCR2,TRUE
PF4,CCR2,TRUE
DEFB103A,CCR2,TRUE
CXCL14,CCR2,TRUE
DEFB106A,CCR2,TRUE
CCL18,CCR2,TRUE
PF4V1,CCR2,TRUE
CCL4L1,CCR2,FALSE
CYTL1,CCR2,TRUE
MSMP,CCR2,TRUE
CCL2,CCR3,TRUE
CCL3L3,CCR3,TRUE
CXCL9,CCR3,FALSE
CCL5,CCR3,TRUE
CCL8,CCR3,TRUE
CCL4,CCR3,TRUE
IL4,CCR3,TRUE
CXCL10,CCR3,FALSE
CXCL11,CCR3,TRUE
IL2,CCR3,TRUE
CXCL12,CCR3,FALSE
CCL19,CCR3,TRUE
CCL21,CCR3,TRUE
CCL25,CCR3,TRUE
CCL13,CCR3,TRUE
CCL14,CCR3,TRUE
CCL15,CCR3,TRUE
CCL23,CCR3,TRUE
CCL3,CCR3,TRUE
CCL7,CCR3,TRUE
CCL27,CCR3,TRUE
CCL28,CCR3,TRUE
CCL16,CCR3,TRUE
CCL11,CCR3,TRUE
CCL24,CCR3,TRUE
CCL26,CCR3,TRUE
CCL17,CCR3,TRUE
CCL22,CCR3,TRUE
CCL20,CCR3,TRUE
CCL1,CCR3,TRUE
CXCL1,CCR3,TRUE
CXCL6,CCR3,TRUE
CXCL8,CCR3,TRUE
CXCL2,CCR3,TRUE
CXCL3,CCR3,TRUE
CXCL5,CCR3,TRUE
PPBP,CCR3,TRUE
CXCL13,CCR3,TRUE
CX3CL1,CCR3,FALSE
XCL1,CCR3,TRUE
XCL2,CCR3,TRUE
PF4,CCR3,TRUE
CXCL14,CCR3,TRUE
CCL18,CCR3,TRUE
PF4V1,CCR3,TRUE
CCL4L1,CCR3,FALSE
CCL2,CCR4,TRUE
CCL3L3,CCR4,TRUE
CXCL9,CCR4,FALSE
CCL5,CCR4,TRUE
CCL8,CCR4,TRUE
CCL4,CCR4,TRUE
CXCL10,CCR4,FALSE
CXCL11,CCR4,TRUE
CXCL12,CCR4,FALSE
CCL19,CCR4,TRUE
CCL21,CCR4,TRUE
CCL25,CCR4,TRUE
CCL13,CCR4,TRUE
CCL14,CCR4,TRUE
CCL15,CCR4,TRUE
CCL23,CCR4,TRUE
CCL3,CCR4,TRUE
CCL7,CCR4,TRUE
CCL27,CCR4,TRUE
CCL28,CCR4,TRUE
CCL16,CCR4,TRUE
CCL11,CCR4,TRUE
CCL24,CCR4,TRUE
CCL26,CCR4,TRUE
CCL17,CCR4,TRUE
CCL22,CCR4,TRUE
CCL20,CCR4,TRUE
CCL1,CCR4,TRUE
CXCL1,CCR4,TRUE
CXCL6,CCR4,TRUE
CXCL8,CCR4,TRUE
CXCL2,CCR4,TRUE
CXCL3,CCR4,TRUE
CXCL5,CCR4,TRUE
PPBP,CCR4,TRUE
CXCL13,CCR4,TRUE
CX3CL1,CCR4,FALSE
XCL1,CCR4,TRUE
XCL2,CCR4,TRUE
CKLF,CCR4,TRUE
PF4,CCR4,TRUE
CXCL14,CCR4,TRUE
CCL18,CCR4,TRUE
PF4V1,CCR4,TRUE
CCL4L1,CCR4,FALSE
CCL2,CCR1,TRUE
CCL3L3,CCR1,TRUE
IL10,CCR1,TRUE
CXCL9,CCR1,FALSE
CCL5,CCR1,TRUE
CCL8,CCR1,TRUE
CCL4,CCR1,TRUE
CXCL10,CCR1,FALSE
CSF2,CCR1,TRUE
CXCL11,CCR1,TRUE
CXCL12,CCR1,FALSE
CCL19,CCR1,TRUE
CCL21,CCR1,TRUE
CCL25,CCR1,TRUE
CCL13,CCR1,TRUE
CCL14,CCR1,TRUE
CCL15,CCR1,TRUE
CCL23,CCR1,TRUE
CCL3,CCR1,TRUE
CCL7,CCR1,TRUE
CCL27,CCR1,TRUE
CCL28,CCR1,TRUE
CCL16,CCR1,TRUE
CCL11,CCR1,TRUE
CCL24,CCR1,TRUE
CCL26,CCR1,TRUE
CCL17,CCR1,TRUE
CCL22,CCR1,TRUE
CCL20,CCR1,TRUE
CCL1,CCR1,TRUE
CXCL1,CCR1,TRUE
CXCL6,CCR1,TRUE
CXCL8,CCR1,TRUE
CXCL2,CCR1,TRUE
CXCL3,CCR1,TRUE
CXCL5,CCR1,TRUE
PPBP,CCR1,TRUE
CXCL13,CCR1,TRUE
CX3CL1,CCR1,FALSE
XCL1,CCR1,TRUE
XCL2,CCR1,TRUE
PF4,CCR1,TRUE
CXCL14,CCR1,TRUE
CCL18,CCR1,TRUE
PF4V1,CCR1,TRUE
CCL4L1,CCR1,FALSE
CCL2,CCR10,TRUE
CCL3L3,CCR10,TRUE
CXCL9,CCR10,FALSE
CCL5,CCR10,TRUE
CCL8,CCR10,TRUE
CCL4,CCR10,TRUE
CXCL10,CCR10,FALSE
CXCL11,CCR10,TRUE
CXCL12,CCR10,FALSE
CCL19,CCR10,TRUE
CCL21,CCR10,TRUE
CCL25,CCR10,TRUE
CCL13,CCR10,TRUE
CCL14,CCR10,TRUE
CCL15,CCR10,TRUE
CCL23,CCR10,TRUE
CCL3,CCR10,TRUE
CCL7,CCR10,TRUE
CCL27,CCR10,TRUE
CCL28,CCR10,TRUE
CCL16,CCR10,TRUE
CCL11,CCR10,TRUE
CCL24,CCR10,TRUE
CCL26,CCR10,TRUE
CCL17,CCR10,TRUE
CCL22,CCR10,TRUE
CCL20,CCR10,TRUE
CCL1,CCR10,TRUE
CXCL1,CCR10,TRUE
CXCL6,CCR10,TRUE
CXCL8,CCR10,TRUE
CXCL2,CCR10,TRUE
CXCL3,CCR10,TRUE
CXCL5,CCR10,TRUE
PPBP,CCR10,TRUE
CXCL13,CCR10,TRUE
CX3CL1,CCR10,FALSE
ANXA1,CCR10,FALSE
XCL1,CCR10,TRUE
XCL2,CCR10,TRUE
PF4,CCR10,TRUE
CXCL14,CCR10,TRUE
CCL18,CCR10,TRUE
PF4V1,CCR10,TRUE
CCL4L1,CCR10,FALSE
NAT10,CCR10,FALSE
CCL2,ACKR1,TRUE
CXCL9,ACKR1,FALSE
CCL5,ACKR1,TRUE
CCL8,ACKR1,TRUE
CXCL10,ACKR1,FALSE
CXCL11,ACKR1,TRUE
CCL13,ACKR1,TRUE
CCL14,ACKR1,TRUE
CCL7,ACKR1,TRUE
CCL16,ACKR1,TRUE
CCL11,ACKR1,TRUE
CCL17,ACKR1,TRUE
CCL22,ACKR1,TRUE
CCL1,ACKR1,TRUE
CXCL1,ACKR1,TRUE
CXCL6,ACKR1,TRUE
CXCL8,ACKR1,TRUE
CXCL2,ACKR1,TRUE
CXCL3,ACKR1,TRUE
CXCL5,ACKR1,TRUE
PPBP,ACKR1,TRUE
CXCL13,ACKR1,TRUE
PF4,ACKR1,TRUE
CCL18,ACKR1,TRUE
CCL2,ACKR2,TRUE
CCL3L3,ACKR2,TRUE
CCL5,ACKR2,TRUE
CCL8,ACKR2,TRUE
CCL4,ACKR2,TRUE
CCL19,ACKR2,TRUE
CCL21,ACKR2,TRUE
CCL25,ACKR2,TRUE
CCL13,ACKR2,TRUE
CCL14,ACKR2,TRUE
CCL23,ACKR2,TRUE
CCL3,ACKR2,TRUE
CCL7,ACKR2,TRUE
CCL27,ACKR2,TRUE
CCL28,ACKR2,TRUE
CCL11,ACKR2,TRUE
CCL24,ACKR2,TRUE
CCL26,ACKR2,TRUE
CCL17,ACKR2,TRUE
CCL22,ACKR2,TRUE
CCL2,ACKR4,TRUE
CCL5,ACKR4,TRUE
CCL8,ACKR4,TRUE
CCL19,ACKR4,TRUE
CCL21,ACKR4,TRUE
CCL25,ACKR4,TRUE
CCL13,ACKR4,TRUE
CCL7,ACKR4,TRUE
CCL11,ACKR4,TRUE
CCL20,ACKR4,TRUE
CCL1,ACKR4,TRUE
CXCL13,ACKR4,TRUE
CCL2,CCR8,TRUE
CCL3L3,CCR8,TRUE
CXCL9,CCR8,FALSE
CCL5,CCR8,TRUE
CCL8,CCR8,TRUE
CCL4,CCR8,TRUE
CXCL10,CCR8,FALSE
CXCL11,CCR8,TRUE
CXCL12,CCR8,FALSE
CCL19,CCR8,TRUE
CCL21,CCR8,TRUE
CCL25,CCR8,TRUE
CCL13,CCR8,TRUE
CCL14,CCR8,TRUE
CCL15,CCR8,TRUE
CCL23,CCR8,TRUE
CCL3,CCR8,TRUE
CCL7,CCR8,TRUE
CCL27,CCR8,TRUE
CCL28,CCR8,TRUE
CCL16,CCR8,TRUE
CCL11,CCR8,TRUE
CCL24,CCR8,TRUE
CCL26,CCR8,TRUE
CCL17,CCR8,TRUE
CCL22,CCR8,TRUE
CCL20,CCR8,TRUE
CCL1,CCR8,TRUE
CXCL1,CCR8,TRUE
CXCL6,CCR8,TRUE
CXCL8,CCR8,TRUE
CXCL2,CCR8,TRUE
CXCL3,CCR8,TRUE
CXCL5,CCR8,TRUE
PPBP,CCR8,TRUE
CXCL13,CCR8,TRUE
CX3CL1,CCR8,FALSE
XCL1,CCR8,TRUE
XCL2,CCR8,TRUE
PF4,CCR8,TRUE
CXCL14,CCR8,TRUE
SPP1,CCR8,TRUE
CCL18,CCR8,TRUE
PF4V1,CCR8,TRUE
CCL4L1,CCR8,FALSE
CCL2,CXCR1,TRUE
CCL3L3,CXCR1,TRUE
CXCL9,CXCR1,FALSE
CCL5,CXCR1,TRUE
CCL8,CXCR1,TRUE
CCL4,CXCR1,TRUE
CXCL10,CXCR1,FALSE
CXCL11,CXCR1,TRUE
CXCL12,CXCR1,FALSE
CCL19,CXCR1,TRUE
CCL21,CXCR1,TRUE
CCL25,CXCR1,TRUE
CCL13,CXCR1,TRUE
CCL14,CXCR1,TRUE
CCL15,CXCR1,TRUE
CCL23,CXCR1,TRUE
CCL3,CXCR1,TRUE
CCL7,CXCR1,TRUE
CCL27,CXCR1,TRUE
CCL28,CXCR1,TRUE
CCL16,CXCR1,TRUE
CCL11,CXCR1,TRUE
CCL24,CXCR1,TRUE
CCL26,CXCR1,TRUE
CCL17,CXCR1,TRUE
CCL22,CXCR1,TRUE
CCL20,CXCR1,TRUE
CCL1,CXCR1,TRUE
CXCL1,CXCR1,TRUE
CXCL6,CXCR1,TRUE
CXCL8,CXCR1,TRUE
CXCL2,CXCR1,TRUE
CXCL3,CXCR1,TRUE
CXCL5,CXCR1,TRUE
PPBP,CXCR1,TRUE
CXCL13,CXCR1,TRUE
CX3CL1,CXCR1,FALSE
XCL1,CXCR1,TRUE
XCL2,CXCR1,TRUE
PF4,CXCR1,TRUE
CXCL14,CXCR1,TRUE
CCL18,CXCR1,TRUE
PF4V1,CXCR1,TRUE
CCL4L1,CXCR1,FALSE
CCL2,TNF,TRUE
CFLAR,TNF,FALSE
TNFRSF1A,TNF,FALSE
IFNG,TNF,TRUE
RB1,TNF,FALSE
CSF1,TNF,FALSE
CSF3,TNF,TRUE
CSF2,TNF,TRUE
HGF,TNF,TRUE
TNFRSF1B,TNF,FALSE
INS,TNF,TRUE
IFNA1,TNF,FALSE
IL23A,TNF,TRUE
BMP7,TNF,TRUE
CTF1,TNF,TRUE
ANGPT1,TNF,TRUE
GCG,TNF,TRUE
NPPA,TNF,TRUE
IL12B,TNF,TRUE
IL17A,TNF,FALSE
ADIPOQ,TNF,TRUE
PI3,TNF,TRUE
S100B,TNF,TRUE
STC1,TNF,TRUE
CCL2,CXCR3,TRUE
CCL3L3,CXCR3,TRUE
CXCL9,CXCR3,FALSE
CCL5,CXCR3,TRUE
CCL8,CXCR3,TRUE
CCL4,CXCR3,TRUE
CXCL10,CXCR3,FALSE
CXCL11,CXCR3,TRUE
CXCL12,CXCR3,FALSE
CCL19,CXCR3,TRUE
CCL21,CXCR3,TRUE
CCL25,CXCR3,TRUE
CCL13,CXCR3,TRUE
CCL14,CXCR3,TRUE
CCL15,CXCR3,TRUE
CCL23,CXCR3,TRUE
CCL3,CXCR3,TRUE
CCL7,CXCR3,TRUE
CCL27,CXCR3,TRUE
CCL28,CXCR3,TRUE
CCL16,CXCR3,TRUE
CCL11,CXCR3,TRUE
CCL24,CXCR3,TRUE
CCL26,CXCR3,TRUE
CCL17,CXCR3,TRUE
CCL22,CXCR3,TRUE
CCL20,CXCR3,TRUE
CCL1,CXCR3,TRUE
CXCL1,CXCR3,TRUE
CXCL6,CXCR3,TRUE
CXCL8,CXCR3,TRUE
CXCL2,CXCR3,TRUE
CXCL3,CXCR3,TRUE
CXCL5,CXCR3,TRUE
PPBP,CXCR3,TRUE
CXCL13,CXCR3,TRUE
CX3CL1,CXCR3,FALSE
TAC1,CXCR3,TRUE
XCL1,CXCR3,TRUE
XCL2,CXCR3,TRUE
PF4,CXCR3,TRUE
CXCL14,CXCR3,TRUE
CCL18,CXCR3,TRUE
PF4V1,CXCR3,TRUE
CCL4L1,CXCR3,FALSE
CCL2,CXCR6,TRUE
CCL3L3,CXCR6,TRUE
CXCL9,CXCR6,FALSE
CCL5,CXCR6,TRUE
CCL8,CXCR6,TRUE
CCL4,CXCR6,TRUE
CXCL10,CXCR6,FALSE
CXCL11,CXCR6,TRUE
CXCL12,CXCR6,FALSE
CCL19,CXCR6,TRUE
CCL21,CXCR6,TRUE
CCL25,CXCR6,TRUE
CCL13,CXCR6,TRUE
CCL14,CXCR6,TRUE
CCL15,CXCR6,TRUE
CCL23,CXCR6,TRUE
CCL3,CXCR6,TRUE
CCL7,CXCR6,TRUE
CCL27,CXCR6,TRUE
CCL28,CXCR6,TRUE
CCL16,CXCR6,TRUE
CCL11,CXCR6,TRUE
CCL24,CXCR6,TRUE
CCL26,CXCR6,TRUE
CCL17,CXCR6,TRUE
CCL22,CXCR6,TRUE
CCL20,CXCR6,TRUE
CCL1,CXCR6,TRUE
CXCL1,CXCR6,TRUE
CXCL6,CXCR6,TRUE
CXCL8,CXCR6,TRUE
CXCL2,CXCR6,TRUE
CXCL3,CXCR6,TRUE
CXCL5,CXCR6,TRUE
PPBP,CXCR6,TRUE
CXCL13,CXCR6,TRUE
CX3CL1,CXCR6,FALSE
XCL1,CXCR6,TRUE
XCL2,CXCR6,TRUE
PF4,CXCR6,TRUE
CXCL14,CXCR6,TRUE
CCL18,CXCR6,TRUE
PF4V1,CXCR6,TRUE
CCL4L1,CXCR6,FALSE
CCL2,CCR6,TRUE
CCL3L3,CCR6,TRUE
IFNG,CCR6,TRUE
CXCL9,CCR6,FALSE
CCL5,CCR6,TRUE
CCL8,CCR6,TRUE
CCL4,CCR6,TRUE
CXCL10,CCR6,FALSE
CXCL11,CCR6,TRUE
CXCL12,CCR6,FALSE
CCL19,CCR6,TRUE
CCL21,CCR6,TRUE
CCL25,CCR6,TRUE
CCL13,CCR6,TRUE
CCL14,CCR6,TRUE
CCL15,CCR6,TRUE
CCL23,CCR6,TRUE
CCL3,CCR6,TRUE
CCL7,CCR6,TRUE
CCL27,CCR6,TRUE
CCL28,CCR6,TRUE
CCL16,CCR6,TRUE
CCL11,CCR6,TRUE
CCL24,CCR6,TRUE
CCL26,CCR6,TRUE
CCL17,CCR6,TRUE
CCL22,CCR6,TRUE
DEFB4B,CCR6,TRUE
CCL20,CCR6,TRUE
CCL1,CCR6,TRUE
CXCL1,CCR6,TRUE
CXCL6,CCR6,TRUE
CXCL8,CCR6,TRUE
CXCL2,CCR6,TRUE
CXCL3,CCR6,TRUE
CXCL5,CCR6,TRUE
PPBP,CCR6,TRUE
CXCL13,CCR6,TRUE
CX3CL1,CCR6,FALSE
